,0
319,1240728027698327552
320,1240728029250322440
321,1240728029824839680
322,1240728029929734144
323,1240728030957486085
324,1240728032672796672
325,1240728032878432257
326,1240728033394335752
327,1240728033746726912
328,1240728033281159168
329,1240728033901903874
330,1240728034250051585
331,1240728034711203847
332,1240728035537620992
333,1240728035843805185
334,1240728036120510464
335,1240728036938600452
336,1240728037194444803
337,1240728037731295238
338,1240728038226030594
339,1240728038695936001
340,1240728039018856448
341,1240728039484424194
342,1240728039748583424
343,1240728040969207808
344,1240728041820749825
345,1240728042588291072
346,1240728042814783491
347,1240728043003547650
348,1240728043951460356
349,1240728044026896385
350,1240728044857409536
351,1240728045566255108
352,1240728047583506432
353,1240728047726272512
354,1240728048028303364
355,1240728048250564610
356,1240728048187715585
357,1240728048309321728
358,1240728049487876096
359,1240728050192601093
360,1240728050578448386
361,1240728050641354762
362,1240728051048157186
363,1240728051400441871
364,1240728051660525575
365,1240728052491059203
366,1240728052985810944
367,1240728053900357635
368,1240728053803712512
369,1240728054063927298
370,1240728055045185536
371,1240728055066263552
372,1240728055003467776
373,1240728054911115264
374,1240728055611420673
375,1240728056257490946
376,1240728056265756672
